group,row,T1_MAB,T2_Maze1D,T3_Maze2D,T4_Heli,T5_Fighter
# 表頭（任務開始時間）,HEADER,15:35?,15:44?,14:23,15:08,15:44
A,1,15:55,,,15:16,15:59
A,2,15:03,15:56,,15:31,15:59
A,3,15:07,15:59,,15:31,16:13
A,4,15:55,15:59,,15:26,16:07
A,5,15:03,15:59,14:49,15:31,16:00
A,6,15:07,16:11,,15:31,16:09
A,7,,,,,16:09
A,8,15:55,,14:58?,,,
A,9,15:07,,14:49?,,
A,10,,,14:49,,,
A,11,15:39,15:58,15:11?,15:31,16:13
A,12,15:39,16:22,15:56?,15:21,15:59
A,13,15:12,16:11,14:51?,14:51?,15:59
A,14,15:12,16:33,15:35,15:21,15:59
A,15,15:12,16:30,15:35?,,
A,16,15:12,16:35?,，15:31,15:51
A,17,15:12,16:11,,15:32,
A,18,,16:11,14:35,15:38,
A,19,15:22,15:59,14:46,15:31,16:13
A,20,,,,,,
